shannon_entropy
(-0.00464, 0.232]      238
(0.232, 0.464]           3
(0.464, 0.697]          37
(0.697, 0.929]          98
(0.929, 1.161]         338
(1.161, 1.393]         108
(1.393, 1.625]         957
(1.625, 1.858]         886
(1.858, 2.09]         2458
(2.09, 2.322]         5365
(2.322, 2.554]       12079
(2.554, 2.786]       22124
(2.786, 3.019]       28567
(3.019, 3.251]       25382
(3.251, 3.483]       21555
(3.483, 3.715]        7059
(3.715, 3.947]        2415
(3.947, 4.179]         256
(4.179, 4.412]          20
(4.412, 4.644]           4
