,booking,myheritage,cashcrate,clearvoicesurveys,gigasize,kickstarter,hq,canva,chegg,sharethis,dropbox,mixfiend,psiho,zynga,gogames,lekoolgames,evony,hautelook,shein,dubsmash,linkedin,mate1,myspace,edmodo,htcmania
booking,0.0,1.2226082189695708,0.43641948027815924,0.3202261846000392,0.4785842034219989,0.6807196743933808,0.050078229678766094,0.13788470870747505,0.17217914684744257,0.872934209707855,0.20163301012415938,1.0832869254989463,0.7162741378604794,0.4854786987934588,0.5064024820307228,0.3495699075788349,0.576873905209518,0.6253350007825443,0.33537171894087003,0.9692861408849895,0.9368014026739582,0.5357846287214156,0.08486438311516889,0.22542164977934853,0.38549605077496996
myheritage,0.9703406230547909,0.0,0.20064439206397325,0.7962588316238742,0.19982005601042943,0.1501304334152554,0.5649405857387028,0.447632448696521,0.4413482916384153,0.29419482075257325,0.4581735778067067,0.040470945629550135,0.11931239148459923,0.20782680324137107,0.15698877743445458,0.26962985420851454,0.19257967096883288,0.13906082951691906,0.20503399161082972,0.39737589520525185,0.08743669545920112,0.18805869186242208,0.4964853722272225,0.2756095156671935,0.23711927135172886
cashcrate,0.3913761580443199,0.24170977982102967,0.0,0.3163329552722453,0.021896859583055796,0.045143890981731494,0.16573555372997537,0.08724242922356773,0.07966708600369043,0.15376393103370514,0.06960289083763535,0.12917853353921138,0.04053606807910528,0.021177268548359728,0.026386542869960727,0.012097370831743722,0.026134377021445207,0.01316496528108909,0.046036401685869845,0.2803071519284062,0.08059284819154593,0.04799537272950216,0.12568956822455107,0.028689404597122523,0.003327195560846795
clearvoicesurveys,0.2227955732074962,1.1611808477828973,0.38568753860198435,0.0,0.5355574220345001,0.40295900791912553,0.25885323864770815,0.22373324442606962,0.20786623995859344,1.0877432904686992,0.26126302659245315,0.7456473096220865,0.6485819198569206,0.41842555797444575,0.5027375790267774,0.33312254711892814,0.5609385301250567,0.5477262031124541,0.35059532637040064,0.8668537558655179,0.8988832001899851,0.5359301561494573,0.19612498871938394,0.33796055929034746,0.3119807680177926
gigasize,0.5064820549076712,0.2261167032981012,0.023677378061150188,0.4152982261269643,0.0,0.049129951458959764,0.22974588439735466,0.17197818766861675,0.16784949237293692,0.1450167570767436,0.13489768029295016,0.1258550017705696,0.019760442739789705,0.08739094856738411,0.00760735610749521,0.016658205467487322,0.004353854398877269,0.02655182435162098,0.12787505344024708,0.18270778012996425,0.06603933017944466,0.012053809437431385,0.21713699820615212,0.061173905541126145,0.028994812099536686
kickstarter,0.5965002804120132,0.1893793285476056,0.04230627346606986,0.37459397317313836,0.04251438209454382,0.0,0.2997904172188889,0.22344566743367858,0.2121340999250791,0.2713363938336708,0.19949788789383457,0.050805363308190334,0.0306294469953457,0.1063281532402727,0.020704797474809054,0.0445959758453134,0.03736825224987202,0.04243522557074268,0.1341319781113673,0.1887454239673477,0.09516025933562071,0.02875301084766573,0.2644652701859805,0.10368208581717037,0.04208050094267528
hq,0.05514173198530985,0.7943748757868747,0.22457652313706528,0.299905018389509,0.24412804858963602,0.4192539699906194,0.0,0.04883481879856452,0.07649269600553985,0.545776578200708,0.09443016661103476,0.7104873893940952,0.4182501962855786,0.2688539342378725,0.2647780524171272,0.16864979132402305,0.321190944384367,0.3554056251206715,0.1577566036402565,0.6697962970591814,0.5758050278217871,0.291521685520858,0.021160150902674243,0.07286828824112943,0.19577869349511748
canva,0.128630531163122,0.5679082787400018,0.08576458566975152,0.20748329444783598,0.14336163462982215,0.22246335127034123,0.03936894858719112,0.0,0.0025486266105125416,0.3280132783259052,0.012204841082654891,0.4271072679480278,0.23883168018645362,0.08688926551346403,0.16304295725668494,0.07534869638911415,0.17625413686407182,0.16379283222943725,0.05885776158739509,0.5312861014405357,0.32967312017244227,0.19681511513206,0.008270421989842503,0.0330779001433268,0.06973270014574402
chegg,0.14745457891188535,0.553708192701605,0.07479499966032543,0.1910135897848853,0.14072694379226924,0.1995621786064134,0.05657869909562111,0.002351613728390241,0.0,0.31294039538236307,0.008202314585414391,0.39445585428690877,0.22393732560311774,0.06985510259250274,0.15992981013351604,0.07042214197722113,0.16563713023259952,0.14605714222953242,0.05678777514903733,0.5200536771808071,0.30739887132911103,0.19446676225915363,0.016334105145919514,0.0395979447562306,0.05934204456249067
sharethis,0.5367566137387537,0.3750946534966998,0.12298106721488414,0.6081352975047176,0.13148055595667835,0.26135149842338146,0.3204618556090712,0.20840648519408347,0.19732303610380633,0.0,0.14870722760697522,0.3169894387992386,0.1482356819804736,0.10033678732820366,0.18963707112221756,0.15961245650428213,0.12298562712784131,0.09855854002949826,0.2022269355838992,0.45158652507757874,0.09349224178003228,0.21439654758675028,0.28009411827323655,0.17493884632388776,0.15017244152038212
