Type,extra sec,2fa,name,birth date,gender,photo,email,tlf,nacionality,location,address,Messages,subscription,purchases
Adult,0.8,0.6,0.8,0.6,0.8,0.6,1.0,0.0,0.0,0.4,0.0,0.0,0.6,0.4
Business,0.09090909090909091,0.6363636363636364,0.7272727272727273,0.36363636363636365,0.45454545454545453,0.36363636363636365,0.9090909090909091,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.2727272727272727,0.18181818181818182
Digital tool,0.375,0.75,0.875,0.0,0.0,0.25,0.625,0.125,0.125,0.125,0.0,0.0,0.875,0.125
Email,0.8,1.0,1.0,0.8,0.6,0.2,0.8,1.0,0.0,0.4,0.2,1.0,0.6,0.4
Entertain,0.2,0.2,0.6,0.4,0.2,0.6,1.0,0.4,0.0,0.2,0.2,0.2,0.8,0.2
Finance,0.8,1.0,1.0,0.8,0.0,0.2,1.0,1.0,0.4,0.0,0.8,0.0,0.2,0.8
Games,0.5,0.5,0.625,0.25,0.25,0.5,0.875,0.375,0.0,0.5,0.125,0.75,0.625,0.75
Internet,0.4,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0.0,0.6,0.8
News,0.0,0.0,0.4,0.2,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0
Shopping,0.16666666666666666,0.6666666666666666,1.0,0.16666666666666666,0.0,0.0,1.0,0.5,0.0,0.16666666666666666,1.0,0.0,0.16666666666666666,1.0
Social,0.2727272727272727,0.8181818181818182,0.9090909090909091,0.7272727272727273,0.5454545454545454,1.0,1.0,0.7272727272727273,0.0,0.7272727272727273,0.0,0.7272727272727273,0.2727272727272727,0.18181818181818182
